127.0.0.1 - - [19/Jun/2024:11:16:31 +0900] "GET / HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:50 +0900] "GET /board/selectList.do HTTP/1.1" 200 6212
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:50 +0900] "GET /asset/BBSTMP_0000000000001/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:50 +0900] "GET /asset/LYTTMP_0000000000000/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:50 +0900] "GET /asset/TYPETMP_02/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:50 +0900] "GET /asset/BBSTMP_0000000000001/images/ico_board_lock.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:50 +0900] "GET /asset/LYTTMP_0000000000000/images/common/ico_arr_b.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:51 +0900] "GET /asset/BBSTMP_0000000000001/images/icon_balloon.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:51 +0900] "GET /asset/LYTTMP_0000000000000/images/common/ico_check_spot.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:51 +0900] "GET /asset/LYTTMP_0000000000000/font/NotoSans-Regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:51 +0900] "GET /asset/LYTTMP_0000000000000/font/NotoSans-Medium.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:59 +0900] "GET /board/selecRegist.do HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:16:59 +0900] "GET /favicon.ico HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:08 +0900] "GET /board/selectList.do HTTP/1.1" 200 5780
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:11 +0900] "GET /board/select.do?boardId=BOARD_X0000000000003&pageIndex=1 HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:11 +0900] "GET /asset/LYTTMP_0000000000000/images/common/ico_del.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:11 +0900] "GET /asset/BBSTMP_0000000000001/images/bg_bar.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:13 +0900] "GET /board/selectList.do?pageIndex=1 HTTP/1.1" 200 5780
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:15 +0900] "GET /board/select.do?boardId=BOARD_X0000000000003&pageIndex=1 HTTP/1.1" 200 2392
0:0:0:0:0:0:0:1 - - [19/Jun/2024:11:17:16 +0900] "GET /board/boardRegist.do?boardId=BOARD_X0000000000003&pageIndex=1 HTTP/1.1" 200 5831
